Geographic area	Total	Salaries and wages	Employee benefits	Instruction Total	Instruction Salaries and wages	Instruction Employee benefits	Support services Total	Pupil support	Instructional staff support	General administration	School administration
United States             	11009	6482	2524	6654	4378	1691	3886	619	509	210	607
Alabama                          	9028	5130	1983	5164	3359	1234	3230	526	387	235	560
Alaska                             	18416	8193	6335	10315	5260	4127	7529	1488	1259	256	1158
Arizona                            	7528	4575	1471	4091	2855	889	3028	578	433	101	348
Arkansas                         	9616	5667	1658	5430	3631	1058	3655	500	806	223	497
California                         	9595	5791	2108	5709	3779	1288	3469	511	541	95	627
Colorado                         	8985	5667	1546	5159	3620	983	3471	435	524	139	629
Connecticut                     	17745	9915	4883	11031	6997	3409	6121	1149	530	389	1057
Delaware                         	13938	7566	3791	8633	5374	2734	4829	651	263	183	881
District of Columbia         	18485	12969	2255	9477	8704	1452	8366	970	1098	1767	1636
Florida                             	8755	5024	1552	5370	3214	954	2935	383	544	78	481
Georgia                           	9202	5578	1962	5590	3785	1389	3059	427	465	115	562
Hawaii                             	12458	6815	2585	7464	4711	1738	4289	1120	420	53	806
Idaho                               	6621	4006	1431	3939	2741	957	2311	366	309	142	381
Illinois                              	13077	6962	3723	7822	4747	2504	4860	877	508	518	648
Indiana                            	9548	5300	2826	5471	3516	1808	3615	459	355	185	561
Iowa                                 	10668	6677	2251	6510	4508	1502	3695	609	523	276	608
Kansas                            	9972	5771	1826	6112	3833	1202	3366	497	393	246	582
Kentucky                         	9312	5791	2179	5328	3747	1329	3414	436	516	222	540
Louisiana                         	10749	5870	2900	6050	3789	1832	4104	658	574	274	629
Maine                              	12707	7570	3153	7284	5050	2168	4963	886	634	453	720
Maryland                         	14003	8228	3755	8635	5544	2561	4971	647	754	125	981
Massachusetts                	15087	9248	3410	9225	6343	2447	5398	1161	877	204	670
Michigan                          	11110	5754	3280	6497	3857	2196	4207	885	535	183	599
Minnesota                       	11464	7184	2383	7441	5085	1689	3484	317	546	388	453
Mississippi                       	8263	4792	1660	4628	3098	1049	3089	404	397	265	495
Missouri                           	9875	6185	1862	5871	4096	1218	3565	458	450	332	574
Montana                          	11017	6242	1975	6590	4243	1321	3963	704	417	342	601
Nebraska                         	11726	6822	2329	7714	4938	1705	3446	488	369	335	557
Nevada                            	8414	5024	2018	4829	3180	1272	3245	452	488	102	601
New Hampshire               	14335	7848	3578	9016	5673	2563	4942	1102	447	495	821
New Jersey                     	17907	10480	4442	10395	6888	2782	6897	1919	576	367	904
New Mexico                     	9734	6134	1905	5234	3595	1249	4059	734	253	186	1274
New York                         	20610	11446	5982	14289	8712	4660	5873	636	509	341	767
North Carolina                 	8512	5294	1813	5254	3609	1221	2786	452	284	97	545
North Dakota                   	12358	7401	2466	7346	5073	1721	4086	497	414	536	620
Ohio                                	11354	6757	2602	6509	4435	1617	4446	767	493	324	601
Oklahoma                        	7829	4477	1505	4228	2883	977	3035	548	330	252	447
Oregon                            	9945	5147	3005	5766	3350	1912	3797	702	361	136	642
Pennsylvania                   	13961	7615	3771	8497	5368	2623	4914	773	478	393	577
Rhode Island                   	14767	8707	3832	8550	5961	2551	5795	1665	611	182	719
South Carolina                	9732	5734	2007	5425	3737	1279	3767	766	583	98	603
South Dakota                  	8881	5267	1562	5247	3592	1050	3163	479	335	298	435
Tennessee                       	8630	5171	1703	5336	3555	1188	2827	382	544	190	511
Texas                               	8593	5846	967	5125	3934	626	2992	429	436	129	485
Utah                                	6500	3724	1737	4096	2562	1193	1998	233	261	63	400
Vermont                           	16988	9760	4037	10165	6564	2756	6285	1423	772	386	1191
Virginia                            	10973	6933	2586	6645	4580	1690	3899	548	710	179	651
Washington                     	10202	6168	2217	5925	3958	1386	3816	697	638	116	608
West Virginia                   	11260	6128	3162	6507	3862	1991	4095	558	458	223	606
Wisconsin                        	11186	6204	2817	6572	4310	1877	4181	546	565	305	563
Wyoming                         	15797	9396	3914	9338	6094	2495	5993	933	904	309	861
